	entities	intent	text	clean_text	bow	len
0	[{'start': 34, 'end': 38, 'value': 'wine', 'entity': 'drug'}, {'start': 24, 'end': 30, 'value': 'bottle', 'entity': 'dosing'}, {'start': 39, 'end': 44, 'value': 'a day', 'entity': 'period'}]	alcohol	I’m drinking at least a bottle of wine a day in the week	['drink', 'little', 'bottle', 'wine', 'day', 'week']	[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1)]	6
1	[{'start': 8, 'end': 18, 'value': 'six ounces', 'entity': 'dosing'}, {'start': 22, 'end': 27, 'value': 'vodka', 'entity': 'drug'}, {'start': 36, 'end': 43, 'value': 'per day', 'entity': 'period'}]	alcohol	I drink six ounces of vodka average per day	['drink', 'six', 'ounce', 'vodka', 'average', 'per', 'day']	[(1, 1), (2, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1)]	7
2	[{'start': 9, 'end': 19, 'value': 'for months', 'entity': 'duration'}]	alcohol	I can go for months and at least a year or so without drinking	['go', 'month', 'little', 'year', 'without', 'drink']	[(2, 1), (3, 1), (11, 1), (12, 1), (13, 1), (14, 1)]	6
3	[]	alcohol	I'm in end stage of alcohol addiction	['end', 'stage', 'alcohol', 'addiction']	[(15, 1), (16, 1), (17, 1), (18, 1)]	4
4	[{'start': 11, 'end': 20, 'value': 'four pack', 'entity': 'dosing'}, {'start': 21, 'end': 32, 'value': 'every night', 'entity': 'period'}]	alcohol	I do buy a four pack every night after work	['buy', 'four', 'pack', 'every', 'night', 'work']	[(19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 1)]	6
5	[]	alcohol	I am trying to stop drinking	['try', 'stop', 'drink']	[(2, 1), (25, 1), (26, 1)]	3
6	[{'start': 53, 'end': 73, 'value': 'for the past 5 years', 'entity': 'duration'}]	alcohol	I’m 25 years old and I’ve been battling with alcohol for the past 5 years	['_num_', 'year', 'old', 'battle', 'alcohol', 'past', '_num_', 'year']	[(14, 2), (16, 1), (27, 2), (28, 1), (29, 1), (30, 1)]	8
7	[]	alcohol	I don’t drink often but when I do drink I don’t know my limits	['drink', 'often', 'drink', 'know', 'limit']	[(2, 2), (31, 1), (32, 1), (33, 1)]	5
8	[]	alcohol	Weekends it all goes out of the window though, I drink too much	['weekends', 'go', 'window', 'though', 'drink', 'much']	[(2, 1), (11, 1), (34, 1), (35, 1), (36, 1), (37, 1)]	6
9	[]	alcohol	I’m now 2 months clean back home	['_num_', 'month', 'clean', 'back', 'home']	[(12, 1), (27, 1), (38, 1), (39, 1), (40, 1)]	5
10	[]	alcohol	my apparent inability to drink 'sensibly'	['apparent', 'inability', 'drink', 'sensibly']	[(2, 1), (41, 1), (42, 1), (43, 1)]	4
11	[]	alcohol	I finally did a 28 day rehab stint	['finally', '_num_', 'day', 'rehab', 'stint']	[(1, 1), (27, 1), (44, 1), (45, 1), (46, 1)]	5
12	[{'start': 67, 'end': 85, 'value': 'on a regular basis', 'entity': 'period'}]	alcohol	I am becoming more and more concerned about how much I am drinking on a regular basis	['become', 'much', 'much', 'concern', 'much', 'drink', 'regular', 'basis']	[(2, 1), (34, 3), (47, 1), (48, 1), (49, 1), (50, 1)]	8
13	[{'start': 27, 'end': 41, 'value': 'in the morning', 'entity': 'period'}]	alcohol	I need to get up and drink in the morning	['need', 'get', 'drink', 'morning']	[(2, 1), (51, 1), (52, 1), (53, 1)]	4
14	[]	alcohol	I started huffing alcohol here recently	['start', 'huff', 'alcohol', 'recently']	[(16, 1), (54, 1), (55, 1), (56, 1)]	4
15	[{'start': 30, 'end': 39, 'value': 'for years', 'entity': 'duration'}]	alcohol	My drinking has been an issue for years	['drink', 'issue', 'year']	[(2, 1), (14, 1), (57, 1)]	3
16	[]	alcohol	So I am an alcoholic and want to stop drinking	['alcoholic', 'want', 'stop', 'drink']	[(2, 1), (25, 1), (58, 1), (59, 1)]	4
17	[]	alcohol	I know all to well the cycle of drinking	['know', 'good', 'cycle', 'drink']	[(2, 1), (31, 1), (60, 1), (61, 1)]	4
18	[]	alcohol	I honestly think I drink to escape my demons	['honestly', 'think', 'drink', 'escape', 'demon']	[(2, 1), (62, 1), (63, 1), (64, 1), (65, 1)]	5
19	[]	alcohol	I've been worried about my drinking for a while	['worry', 'drink']	[(2, 1), (66, 1)]	2
20	[]	alcohol	to help in reducing/stopping my heavy alcohol consumption	['help', 'reduce', 'stop', 'heavy', 'alcohol', 'consumption']	[(16, 1), (25, 1), (67, 1), (68, 1), (69, 1), (70, 1)]	6
21	[{'start': 20, 'end': 25, 'value': 'vodka', 'entity': 'drug'}]	alcohol	When I was drinking vodka came 1st 2nd 3rd	['drink', 'vodka', 'come', '_num_st', '_num_nd', '_num_rd']	[(2, 1), (10, 1), (71, 1), (72, 1), (73, 1), (74, 1)]	6
22	[{'start': 32, 'end': 41, 'value': 'four cans', 'entity': 'dosing'}, {'start': 67, 'end': 84, 'value': 'each week evening', 'entity': 'period'}, {'start': 62, 'end': 66, 'value': 'wine', 'entity': 'drug'}]	alcohol	When I say drinking it's either four cans or half a bottle of wine each week evening	['say', 'drink', 'either', 'four', 'half', 'bottle', 'wine', 'week', 'even']	[(0, 1), (2, 1), (4, 1), (5, 1), (21, 1), (75, 1), (76, 1), (77, 1), (78, 1)]	9
23	[{'start': 8, 'end': 18, 'value': 'six ounces', 'entity': 'dosing'}, {'start': 22, 'end': 27, 'value': 'vodka', 'entity': 'drug'}, {'start': 37, 'end': 44, 'value': 'per day', 'entity': 'period'}]	alcohol	I drink six ounces of vodka  average per day	['drink', 'six', 'ounce', 'vodka', 'average', 'per', 'day']	[(1, 1), (2, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1)]	7
24	[]	alcohol	I've had a problem with alcohol since I was 12	['problem', 'alcohol', 'since', '_num_']	[(16, 1), (27, 1), (79, 1), (80, 1)]	4
25	[]	alcohol	I have due to the alcohol I used to drink	['due', 'alcohol', 'use', 'drink']	[(2, 1), (16, 1), (81, 1), (82, 1)]	4
26	[]	alcohol	I am trying the Sinclair Method	['try', 'sinclair', 'method']	[(26, 1), (83, 1), (84, 1)]	3
27	[{'start': 27, 'end': 49, 'value': 'for over ten years now', 'entity': 'duration'}]	alcohol	I've been misusing alcohol for over ten years now	['misuse', 'alcohol', 'ten', 'year']	[(14, 1), (16, 1), (85, 1), (86, 1)]	4
28	[]	alcohol	"I have a ""real"" drinking problem"	['real', 'drink', 'problem']	[(2, 1), (79, 1), (87, 1)]	3
29	[]	alcohol	I need of help with alcoholism addiction	['need', 'help', 'alcoholism', 'addiction']	[(15, 1), (53, 1), (69, 1), (88, 1)]	4
30	[{'start': 26, 'end': 35, 'value': '1L bottle', 'entity': 'dosing'}, {'start': 39, 'end': 46, 'value': 'whiskey', 'entity': 'drug'}]	alcohol	One time I drank 1/3 of a 1L bottle of whiskey in 30 minutes	['one', 'time', 'drink', '_num_', '_num_l', 'bottle', 'whiskey', '_num_', 'minute']	[(0, 1), (2, 1), (27, 2), (89, 1), (90, 1), (91, 1), (92, 1), (93, 1)]	9
31	[{'start': 31, 'end': 47, 'value': 'almost every day', 'entity': 'period'}]	alcohol	So that's 25 years of drinking almost every day	['_num_', 'year', 'drink', 'almost', 'every', 'day']	[(1, 1), (2, 1), (14, 1), (20, 1), (27, 1), (94, 1)]	6
